INSTANCE_ACCOUNT_ID,INSTANCE_ACCOUNT_SUBDOMAIN,INSTANCE_ACCOUNT_POD_ID,SUBSCRIPTION_RATE_LIMIT,TICKETS_UPDATE_LIMIT,PER_TICKET_UPDATES_LIMIT,INFLIGHT_JOBS_LIMIT,INCREMENTAL_EXPORTS_LIMIT,SUBSCRIPTION_RATE_USED,TICKETS_UPDATE_USED,ERRORS_429_COUNT,has_hvapi,support_plan,CONTRACT_RENEWAL_DATE,is_sandbox,plan_tier,concern_level
9077126,coupangcustomersupport,pod25,25000,5000,30,100,30,10862,3030,32,1,Enterprise,2029-06-01,0,Enterprise (HVAPI),HIGH
11041475,coupangeatsoperations,pod25,10000,3000,30,30,30,2331,886,0,1,Enterprise,2029-06-01,0,Enterprise (HVAPI),HIGH
655155,grubhub,pod20,10000,24000,30,,30,3883,443,0,1,Enterprise,2027-11-30,0,Enterprise (HVAPI),HIGH
10557657,support,pod26,10000,9000,30,50,30,428,100,0,1,Enterprise,2027-02-01,0,Enterprise (HVAPI),HIGH
11478963,canvateam,pod15,6500,600,30,30,45,2538,99,0,1,Enterprise,2027-09-30,0,Enterprise (HVAPI),HIGH
9390984,takeaway,pod17,5000,2000,30,45,30,534,10,75,1,Enterprise,2028-12-01,0,Enterprise (HVAPI),HIGH
19152078,coupangtwfc,pod25,5000,,,,,3,,0,1,Enterprise,2029-06-01,0,Enterprise (HVAPI),HIGH
10088868,ab-inbevbr,pod23,5000,300,30,,30,1733,132,0,1,Enterprise,2028-11-28,0,Enterprise (HVAPI),HIGH
10404715,betmgm,pod20,5000,1000,30,30,30,1066,187,0,1,Enterprise,2027-10-01,0,Enterprise (HVAPI),HIGH
11542602,coupangfc,pod25,5000,300,30,,30,1722,58,0,1,Enterprise,2029-06-01,0,Enterprise (HVAPI),HIGH
10896161,rocketnow,pod25,5000,300,30,,30,407,123,0,1,Enterprise,2029-06-01,0,Enterprise (HVAPI),HIGH
479262,proctorio,pod13,5000,300,30,,,609,4,0,1,Professional,2026-07-28,0,Enterprise (HVAPI),HIGH
10102607,gvc,pod17,5000,1000,30,30,30,1446,100,0,1,Enterprise,2027-10-01,0,Enterprise (HVAPI),HIGH
9049502,logitech,pod23,5000,300,30,30,,453,184,0,1,Enterprise,2027-11-30,0,Enterprise (HVAPI),HIGH
749863,travelperk,pod28,5000,300,30,30,30,824,272,2,1,Enterprise,2027-06-24,0,Enterprise (HVAPI),HIGH
781284,chime,pod23,5000,2000,30,30,45,2200,589,10,1,Enterprise,2027-04-01,0,Enterprise (HVAPI),HIGH
21321137,ryze,pod20,5000,300,30,30,50,2049,58,0,1,Enterprise,2034-11-07,0,Enterprise (HVAPI),HIGH
16237142,daznsupport,pod29,5000,600,30,,10,761,180,0,0,Enterprise,2029-04-01,0,Enterprise (no HVAPI),HIGH
950185,lemonadehelp,pod23,5000,300,30,30,30,3100,152,99,1,Enterprise,2027-01-01,0,Enterprise (HVAPI),HIGH
61840,rockstarsupport,pod19,5000,2000,30,,30,387,65,1,1,Enterprise,2028-02-25,0,Enterprise (HVAPI),HIGH
9747139,ab-inbevdr,pod23,5000,300,30,,30,310,1,0,1,Enterprise,2028-11-28,0,Enterprise (HVAPI),HIGH
21473443,bet365cx,pod28,5000,600,30,30,,1896,122,0,1,Enterprise,2034-11-04,0,Enterprise (HVAPI),HIGH
678183,hammerandchisel,pod23,5000,300,30,30,30,3372,123,0,1,Enterprise,2027-09-30,0,Enterprise (HVAPI),HIGH
10934316,coupangtw,pod25,5000,300,30,30,30,1545,343,33,1,Enterprise,2029-06-01,0,Enterprise (HVAPI),HIGH
978257,clearbit,pod23,4000,,,,,348,,0,0,Professional,2026-07-25,0,Professional,HIGH
14426656,justeat,pod29,4000,,,,,1,,0,1,Enterprise,2028-12-01,0,Enterprise (HVAPI),HIGH
473962,nubank,pod19,4000,4000,30,,30,2298,23,0,1,Enterprise,2027-03-01,0,Enterprise (HVAPI),HIGH
11165451,next,pod17,3750,550,30,,30,109,21,0,1,Enterprise,2027-03-30,0,Enterprise (HVAPI),HIGH
888110,totvssuporte,pod23,3500,5000,30,30,30,3500,326,158,1,Enterprise,2035-06-27,0,Enterprise (HVAPI),HIGH
9450393,findheadway,pod20,3500,300,30,,30,188,5,0,1,Enterprise,2027-06-27,0,Enterprise (HVAPI),HIGH
14949990,getyourguidesupport,pod29,3500,300,30,30,30,844,74,0,1,Enterprise,2026-12-31,0,Enterprise (HVAPI),HIGH
2195342,waterbears-z3n-dev,pod26,3000,,,,,2,,0,1,Enterprise,2027-01-16,0,Enterprise (HVAPI),HIGH
9504,dropbox,pod13,3000,2000,30,30,30,1054,390,0,1,Enterprise,2027-05-24,0,Enterprise (HVAPI),HIGH
11852402,campbellscare,pod23,3000,300,30,,,64,36,0,1,Enterprise,2027-12-31,0,Enterprise (HVAPI),HIGH
